name,team,match_id,shots,passing,chances,crossing,set_piece,take_ons,tackles,aerial_duels,interceptions,clearance,fouls,cards,throw_ins,blocks,gk,goal,own_goal,date,stadium,league,did_play,did_start,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,score
Eric Bailly,MANUTD,MANUTDvCHELSEA,0,78%,0,0,0,1,33%,67%,1,4,1,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,1,3,3,3,6,10,11,12,12,13,14,15,17,18,18,19,23,22,2v0
Marcos Rojo,MANUTD,MANUTDvCHELSEA,0,87%,0,0,0,0,67%,100%,1,9,2,1,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,5,7,8,9,13,13,14,21,21,22,24,26,28,31,19,25,31,31,2v0
Antonio Valencia,MANUTD,MANUTDvCHELSEA,0,79%,0,0,0,2,50%,50%,1,0,0,0,7,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,2,9,10,8,8,11,9,12,11,18,15,16,14,15,11,8,8,9,2v0
Matteo Darmian,MANUTD,MANUTDvCHELSEA,0,90%,0,0,0,0,80%,100%,2,2,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,2,3,6,6,7,9,10,10,13,17,28,30,31,30,35,39,40,43,2v0
Paul Pogba,MANUTD,MANUTDvCHELSEA,0,76%,1,0,0,4,20%,50%,1,2,3,0,0,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,2,5,5,10,13,9,13,6,10,10,2,3,7,-1,3,-1,-9,-12,2v0
Jesse Lingard,MANUTD,MANUTDvCHELSEA,1,79%,0,1,0,1,50%,0%,0,1,1,0,0,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,3,0,0,2,5,4,-2,-2,-1,1,-5,-2,-2,-2,-2,-2,-2,-3,2v0
Ashley Young,MANUTD,MANUTDvCHELSEA,3,66%,0,3,0,5,0%,0%,2,3,0,0,5,4,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,1,3,0,-2,3,6,6,4,0,-3,-2,-3,-2,-2,-2,2,-4,-6,2v0
Ander Herrera,MANUTD,MANUTDvCHELSEA,1,76%,2,0,0,0,33%,50%,4,5,4,1,0,4,0,1,0,16.04.2017,Old Trafford,English Premier League,1,1,0,0,21,23,32,32,30,26,23,29,52,51,55,56,61,39,45,46,52,2v0
Marouane Fellaini,MANUTD,MANUTDvCHELSEA,0,77%,1,0,0,0,29%,60%,4,0,4,0,0,4,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,-3,-2,1,8,9,9,8,8,8,8,12,6,7,9,10,5,6,6,2v0
Marcus Rashford,MANUTD,MANUTDvCHELSEA,4,87%,1,6,0,7,100%,0%,0,0,0,0,0,1,0,1,0,16.04.2017,Old Trafford,English Premier League,1,1,0,-4,27,26,24,24,28,26,28,24,30,33,30,28,40,41,42,42,39,2v0
